timeframe,setup,rr,feature,mode,pct,threshold,trades_train,win_rate_train_num,win_rate_train,delta_vs_base_train_num,delta_vs_base_train,trades_test,win_rate_test_num,win_rate_test,delta_vs_base_test_num,delta_vs_base_test
1h,PFR,1.0,ret_3_pct,high,50,0.0350147402876643,168,46.42857142857143,"46,4%",-2.526652452025587,"-2,5%",44,54.54545454545454,"54,5%",10.497835497835496,"10,5%"
1h,PFR,1.0,vol_z,high,50,-0.2375654473130544,168,56.547619047619044,"56,5%",7.592395167022026,"7,6%",45,51.11111111111111,"51,1%",7.063492063492063,"7,1%"
1h,PFR,1.0,ma_gap_pct,high,60,1.2642485918667825,201,52.23880597014925,"52,2%",3.283582089552233,"3,3%",40,50.0,"50,0%",5.952380952380956,"6,0%"
1h,PFR,1.0,body,high,40,112.10000000000001,134,57.46268656716418,"57,5%",8.507462686567159,"8,5%",63,49.2063492063492,"49,2%",5.158730158730158,"5,2%"
1h,PFR,1.0,vol_z,high,60,-0.42240408102032834,201,52.736318407960205,"52,7%",3.7810945273631873,"3,8%",53,49.056603773584904,"49,1%",5.00898472596586,"5,0%"
1h,PFR,1.0,bars_since_new_high,low,60,4.0,206,48.05825242718447,"48,1%",-0.8969714534125472,"-0,9%",49,48.97959183673469,"49,0%",4.9319727891156475,"4,9%"
1h,PFR,1.0,context_bars_since_extreme,low,60,4.0,206,48.05825242718447,"48,1%",-0.8969714534125472,"-0,9%",49,48.97959183673469,"49,0%",4.9319727891156475,"4,9%"
1h,PFR,1.0,body_pct,high,60,0.18094365807631113,201,53.233830845771145,"53,2%",4.278606965174127,"4,3%",47,48.93617021276596,"48,9%",4.8885511651469145,"4,9%"
1h,PFR,1.0,ret_1_pct,high,60,0.18127166058311325,201,53.233830845771145,"53,2%",4.278606965174127,"4,3%",47,48.93617021276596,"48,9%",4.8885511651469145,"4,9%"
1h,PFR,1.0,body,high,50,80.30000000000291,168,57.738095238095234,"57,7%",8.782871357498216,"8,8%",72,48.61111111111111,"48,6%",4.563492063492063,"4,6%"
1h,PFR,1.0,lower_wick,high,40,144.58000000000175,134,52.23880597014925,"52,2%",3.283582089552233,"3,3%",58,48.275862068965516,"48,3%",4.228243021346472,"4,2%"
1h,PFR,1.0,lower_wick_pct,low,50,0.2949182471964449,168,50.595238095238095,"50,6%",1.6400142146410772,"1,6%",54,48.148148148148145,"48,1%",4.100529100529101,"4,1%"
1h,PFR,1.0,lower_wick,high,60,82.96000000000058,201,51.741293532338304,"51,7%",2.786069651741286,"2,8%",73,47.94520547945205,"47,9%",3.8975864318330053,"3,9%"
1h,PFR,1.0,rsi,high,60,60.384418770338485,201,46.26865671641791,"46,3%",-2.6865671641791096,"-2,7%",48,47.91666666666667,"47,9%",3.8690476190476275,"3,9%"
1h,PFR,1.0,body,high,60,54.8,201,54.72636815920397,"54,7%",5.771144278606954,"5,8%",76,47.368421052631575,"47,4%",3.3208020050125313,"3,3%"
1h,PFR,1.0,lower_wick_pct,low,40,0.24010561270854114,134,48.507462686567166,"48,5%",-0.4477611940298516,"-0,4%",47,46.808510638297875,"46,8%",2.760891590678831,"2,8%"
1h,PFR,1.0,pullback_from_new_high_atr,low,50,1.0439963285210736,168,47.023809523809526,"47,0%",-1.9314143567874922,"-1,9%",47,46.808510638297875,"46,8%",2.760891590678831,"2,8%"
1h,PFR,1.0,context_pullback_atr,low,50,1.0439963285210736,168,47.023809523809526,"47,0%",-1.9314143567874922,"-1,9%",47,46.808510638297875,"46,8%",2.760891590678831,"2,8%"
1h,PFR,1.0,slope_strength,high,60,0.09989787672552572,201,51.243781094527364,"51,2%",2.2885572139303463,"2,3%",43,46.51162790697674,"46,5%",2.4640088593576976,"2,5%"
1h,PFR,1.0,ret_5_pct,high,60,0.3557496330426346,201,48.756218905472636,"48,8%",-0.19900497512438164,"-0,2%",43,46.51162790697674,"46,5%",2.4640088593576976,"2,5%"
1h,PFR,1.0,pullback_from_new_high_pct,low,40,0.703209146312852,134,50.0,"50,0%",1.0447761194029823,"1,0%",54,46.2962962962963,"46,3%",2.2486772486772537,"2,2%"
1h,PFR,1.0,context_pullback_pct,low,40,0.703209146312852,134,50.0,"50,0%",1.0447761194029823,"1,0%",54,46.2962962962963,"46,3%",2.2486772486772537,"2,2%"
1h,PFR,1.0,lower_wick,high,50,111.0,169,53.84615384615385,"53,8%",4.890929965556829,"4,9%",67,46.26865671641791,"46,3%",2.221037668798864,"2,2%"
1h,PFR,1.0,pullback_from_new_high_atr,high,60,0.857903300071619,201,48.756218905472636,"48,8%",-0.19900497512438164,"-0,2%",46,45.65217391304348,"45,7%",1.6045548654244328,"1,6%"
1h,PFR,1.0,context_pullback_atr,high,60,0.857903300071619,201,48.756218905472636,"48,8%",-0.19900497512438164,"-0,2%",46,45.65217391304348,"45,7%",1.6045548654244328,"1,6%"
1h,PFR,1.0,clv,high,60,0.8251248751248751,201,50.24875621890548,"50,2%",1.2935323383084594,"1,3%",55,45.45454545454545,"45,5%",1.4069264069264094,"1,4%"
1h,PFR,1.0,ret_3_pct,high,60,-0.031081740824219155,201,47.2636815920398,"47,3%",-1.6915422885572156,"-1,7%",55,45.45454545454545,"45,5%",1.4069264069264094,"1,4%"
1h,PFR,1.0,range,high,50,269.5,168,53.57142857142857,"53,6%",4.616204690831552,"4,6%",75,45.33333333333333,"45,3%",1.2857142857142847,"1,3%"
1h,PFR,1.0,range,high,40,352.70000000000005,134,55.970149253731336,"56,0%",7.014925373134318,"7,0%",64,45.3125,"45,3%",1.264880952380956,"1,3%"
1h,PFR,1.0,upper_wick,high,50,32.0,169,50.887573964497044,"50,9%",1.932350083900026,"1,9%",62,45.16129032258064,"45,2%",1.1136712749615967,"1,1%"
1h,PFR,1.0,upper_wick,high,40,46.11999999999971,134,53.73134328358209,"53,7%",4.776119402985074,"4,8%",51,45.09803921568628,"45,1%",1.0504201680672338,"1,1%"
1h,PFR,1.0,upper_wick_pct,low,60,0.13127316400615585,201,46.766169154228855,"46,8%",-2.1890547263681626,"-2,2%",60,45.0,"45,0%",0.9523809523809561,"1,0%"
1h,PFR,1.0,pos_in_range_n,high,50,0.7924427317490895,168,49.404761904761905,"49,4%",0.4495380241648874,"0,4%",49,44.89795918367347,"44,9%",0.8503401360544274,"0,9%"
1h,PFR,1.0,clv,high,50,0.8578584846587352,168,50.0,"50,0%",1.0447761194029823,"1,0%",47,44.680851063829785,"44,7%",0.6332320162107408,"0,6%"
1h,PFR,1.0,upper_wick_pct,low,50,0.1062630117973629,168,48.214285714285715,"48,2%",-0.7409381663113024,"-0,7%",56,44.642857142857146,"44,6%",0.595238095238102,"0,6%"
1h,PFR,1.0,lower_wick_pct,low,60,0.3488747925703365,201,48.756218905472636,"48,8%",-0.19900497512438164,"-0,2%",65,44.61538461538462,"44,6%",0.5677655677655764,"0,6%"
1h,PFR,1.0,atr,high,50,315.92323565632137,168,53.57142857142857,"53,6%",4.616204690831552,"4,6%",81,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,range,high,60,215.7,201,54.72636815920397,"54,7%",5.771144278606954,"5,8%",81,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,atr,high,40,385.7820414056799,134,52.23880597014925,"52,2%",3.283582089552233,"3,3%",72,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,dist_to_high_n_pct,low,50,0.7198027654218819,168,51.78571428571429,"51,8%",2.830490405117274,"2,8%",63,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,pullback_from_new_high_pct,low,60,0.9323312154854659,201,46.766169154228855,"46,8%",-2.1890547263681626,"-2,2%",63,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_pullback_pct,low,60,0.9323312154854659,201,46.766169154228855,"46,8%",-2.1890547263681626,"-2,2%",63,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,pos_in_range_n,high,60,0.7573321188692018,201,48.258706467661696,"48,3%",-0.6965174129353215,"-0,7%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,10,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,15,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,20,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,25,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,30,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,40,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,50,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,after_new_high_recent_flag,high,60,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,10,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,15,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,20,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,25,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,30,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,40,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,50,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,context_after_extreme_flag_v2,high,60,1.0,223,41.70403587443946,"41,7%",-7.251188006157555,"-7,3%",54,44.44444444444444,"44,4%",0.39682539682539897,"0,4%"
1h,PFR,1.0,pullback_from_new_high_pct,low,50,0.8093880904323836,168,45.23809523809524,"45,2%",-3.717128642501777,"-3,7%",61,44.26229508196721,"44,3%",0.21467603434816596,"0,2%"
1h,PFR,1.0,context_pullback_pct,low,50,0.8093880904323836,168,45.23809523809524,"45,2%",-3.717128642501777,"-3,7%",61,44.26229508196721,"44,3%",0.21467603434816596,"0,2%"
1h,PFR,1.0,dist_to_low_n_pct,low,40,2.4213404707703896,134,50.0,"50,0%",1.0447761194029823,"1,0%",52,44.230769230769226,"44,2%",0.1831501831501825,"0,2%"
1h,PFR,1.0,pullback_from_new_high_atr,low,60,1.2455408755537165,201,45.77114427860697,"45,8%",-3.1840796019900495,"-3,2%",52,44.230769230769226,"44,2%",0.1831501831501825,"0,2%"
1h,PFR,1.0,context_pullback_atr,low,60,1.2455408755537165,201,45.77114427860697,"45,8%",-3.1840796019900495,"-3,2%",52,44.230769230769226,"44,2%",0.1831501831501825,"0,2%"
1h,PFR,1.0,upper_wick_pct,low,40,0.08002791842836418,134,49.25373134328358,"49,3%",0.29850746268656536,"0,3%",43,44.18604651162791,"44,2%",0.1384274640088634,"0,1%"
1h,PFR,1.0,sma8,high,40,41049.0625,134,54.47761194029851,"54,5%",5.522388059701491,"5,5%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,sma8,high,50,35780.4375,168,55.35714285714286,"55,4%",6.4019189765458435,"6,4%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,sma8,high,60,28036.93,201,55.72139303482587,"55,7%",6.766169154228855,"6,8%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,sma80,high,40,39427.82875,134,55.223880597014926,"55,2%",6.268656716417908,"6,3%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,sma80,high,50,34627.675,168,55.35714285714286,"55,4%",6.4019189765458435,"6,4%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,sma80,high,60,27272.225000000002,201,55.72139303482587,"55,7%",6.766169154228855,"6,8%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,atr,high,60,237.08890797798205,201,52.736318407960205,"52,7%",3.7810945273631873,"3,8%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,rolling_high_20,high,40,41622.1,134,55.223880597014926,"55,2%",6.268656716417908,"6,3%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,rolling_high_20,high,50,36940.5,168,55.35714285714286,"55,4%",6.4019189765458435,"6,4%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,rolling_high_20,high,60,28305.539999999997,201,55.72139303482587,"55,7%",6.766169154228855,"6,8%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,rolling_low_20,high,40,38467.00000000001,134,55.223880597014926,"55,2%",6.268656716417908,"6,3%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,rolling_low_20,high,50,33888.0,168,55.952380952380956,"56,0%",6.997157071783938,"7,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,rolling_low_20,high,60,27080.48,201,55.72139303482587,"55,7%",6.766169154228855,"6,8%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,new_high_event,high,10,0.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,new_high_event,high,15,0.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,new_high_event,high,20,0.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,new_high_event,high,25,0.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,new_high_event,high,30,0.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,new_high_event,high,40,0.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,new_high_event,high,50,0.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,new_high_event,high,60,0.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,last_new_high,high,40,41738.8,134,55.223880597014926,"55,2%",6.268656716417908,"6,3%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,last_new_high,high,50,37245.0,168,54.761904761904766,"54,8%",5.806680881307749,"5,8%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,last_new_high,high,60,28451.18,201,55.72139303482587,"55,7%",6.766169154228855,"6,8%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,after_new_high_recent_flag,low,40,1.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,after_new_high_recent_flag,low,50,1.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,after_new_high_recent_flag,low,60,1.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,context_after_extreme_flag_v2,low,40,1.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,context_after_extreme_flag_v2,low,50,1.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,context_after_extreme_flag_v2,low,60,1.0,335,48.95522388059702,"49,0%",0.0,"0,0%",84,44.047619047619044,"44,0%",0.0,"0,0%"
1h,PFR,1.0,upper_wick_pct,high,60,0.08002791842836418,201,48.756218905472636,"48,8%",-0.19900497512438164,"-0,2%",41,43.90243902439025,"43,9%",-0.14518002322879653,"-0,1%"
1h,PFR,1.0,dist_to_low_n_pct,low,60,3.339704056025689,201,50.24875621890548,"50,2%",1.2935323383084594,"1,3%",73,43.83561643835616,"43,8%",-0.21200260926288195,"-0,2%"
1h,PFR,1.0,atr_pct,low,60,0.8947596252880491,201,49.75124378109453,"49,8%",0.7960199004975124,"0,8%",78,43.58974358974359,"43,6%",-0.4578754578754527,"-0,5%"
1h,PFR,1.0,dist_to_high_n_pct,low,60,0.8220283345500109,201,49.25373134328358,"49,3%",0.29850746268656536,"0,3%",69,43.47826086956522,"43,5%",-0.5693581780538253,"-0,6%"
1h,PFR,1.0,clv,low,60,0.8812527024808485,201,48.258706467661696,"48,3%",-0.6965174129353215,"-0,7%",46,43.47826086956522,"43,5%",-0.5693581780538253,"-0,6%"
1h,PFR,1.0,dist_to_sma80_pct,low,60,2.6931085911180896,201,49.25373134328358,"49,3%",0.29850746268656536,"0,3%",65,43.07692307692308,"43,1%",-0.9706959706959637,"-1,0%"
1h,PFR,1.0,ma_gap_pct,low,60,2.3195335157123287,201,48.756218905472636,"48,8%",-0.19900497512438164,"-0,2%",70,42.857142857142854,"42,9%",-1.1904761904761898,"-1,2%"
1h,PFR,1.0,new_high_event,low,10,0.0,306,47.05882352941176,"47,1%",-1.8964003511852567,"-1,9%",75,42.66666666666667,"42,7%",-1.3809523809523725,"-1,4%"
1h,PFR,1.0,new_high_event,low,15,0.0,306,47.05882352941176,"47,1%",-1.8964003511852567,"-1,9%",75,42.66666666666667,"42,7%",-1.3809523809523725,"-1,4%"
1h,PFR,1.0,new_high_event,low,20,0.0,306,47.05882352941176,"47,1%",-1.8964003511852567,"-1,9%",75,42.66666666666667,"42,7%",-1.3809523809523725,"-1,4%"
1h,PFR,1.0,new_high_event,low,25,0.0,306,47.05882352941176,"47,1%",-1.8964003511852567,"-1,9%",75,42.66666666666667,"42,7%",-1.3809523809523725,"-1,4%"
1h,PFR,1.0,new_high_event,low,30,0.0,306,47.05882352941176,"47,1%",-1.8964003511852567,"-1,9%",75,42.66666666666667,"42,7%",-1.3809523809523725,"-1,4%"
1h,PFR,1.0,new_high_event,low,40,0.0,306,47.05882352941176,"47,1%",-1.8964003511852567,"-1,9%",75,42.66666666666667,"42,7%",-1.3809523809523725,"-1,4%"
1h,PFR,1.0,new_high_event,low,50,0.0,306,47.05882352941176,"47,1%",-1.8964003511852567,"-1,9%",75,42.66666666666667,"42,7%",-1.3809523809523725,"-1,4%"
1h,PFR,1.0,new_high_event,low,60,0.0,306,47.05882352941176,"47,1%",-1.8964003511852567,"-1,9%",75,42.66666666666667,"42,7%",-1.3809523809523725,"-1,4%"
1h,PFR,1.0,atr_pct,low,50,0.7889986827085737,168,48.214285714285715,"48,2%",-0.7409381663113024,"-0,7%",71,42.25352112676056,"42,3%",-1.7940979208584835,"-1,8%"
1h,PFR,1.0,pos_in_range_n,low,60,0.8327476486346491,201,45.77114427860697,"45,8%",-3.1840796019900495,"-3,2%",45,42.22222222222222,"42,2%",-1.8253968253968225,"-1,8%"
1h,PFR,1.0,range_pct,low,60,0.8779468471786511,201,44.776119402985074,"44,8%",-4.1791044776119435,"-4,2%",64,42.1875,"42,2%",-1.860119047619044,"-1,9%"
1h,PFR,1.0,ma_gap_pct,low,50,1.5993913816953902,168,45.83333333333333,"45,8%",-3.121890547263689,"-3,1%",57,42.10526315789473,"42,1%",-1.9423558897243112,"-1,9%"
1h,PFR,1.0,range_pct,low,50,0.7406623637710296,168,46.42857142857143,"46,4%",-2.526652452025587,"-2,5%",57,42.10526315789473,"42,1%",-1.9423558897243112,"-1,9%"
1h,PFR,1.0,upper_wick,high,60,23.88000000000029,201,50.74626865671642,"50,7%",1.7910447761193993,"1,8%",69,42.028985507246375,"42,0%",-2.0186335403726687,"-2,0%"
1h,PFR,1.0,dist_to_low_n_pct,low,50,2.83064332278107,168,51.19047619047619,"51,2%",2.235252309879172,"2,2%",67,41.7910447761194,"41,8%",-2.2565742714996446,"-2,3%"
1h,PFR,1.0,atr_pct,low,40,0.6993239296137485,134,45.52238805970149,"45,5%",-3.4328358208955265,"-3,4%",60,41.66666666666667,"41,7%",-2.3809523809523725,"-2,4%"
1h,PFR,1.0,ret_5_pct,low,50,0.4999984066335061,168,50.595238095238095,"50,6%",1.6400142146410772,"1,6%",53,41.509433962264154,"41,5%",-2.5381850853548897,"-2,5%"
1h,PFR,1.0,dist_to_high_n_pct,low,40,0.5961590844059823,134,54.47761194029851,"54,5%",5.522388059701491,"5,5%",53,41.509433962264154,"41,5%",-2.5381850853548897,"-2,5%"
1h,PFR,1.0,slope_strength,low,40,0.09989787672552572,134,45.52238805970149,"45,5%",-3.4328358208955265,"-3,4%",41,41.46341463414634,"41,5%",-2.5842044134727047,"-2,6%"
1h,PFR,1.0,ret_5_pct,low,40,0.3557496330426346,134,49.25373134328358,"49,3%",0.29850746268656536,"0,3%",41,41.46341463414634,"41,5%",-2.5842044134727047,"-2,6%"
1h,PFR,1.0,slope_strength,low,50,0.1246828228118962,168,45.83333333333333,"45,8%",-3.121890547263689,"-3,1%",54,40.74074074074074,"40,7%",-3.3068783068783034,"-3,3%"
1h,PFR,1.0,slope_strength,low,60,0.1541907787819646,201,46.26865671641791,"46,3%",-2.6865671641791096,"-2,7%",59,40.67796610169492,"40,7%",-3.3696529459241233,"-3,4%"
1h,PFR,1.0,dist_to_sma80_pct,low,40,1.764854513529142,134,44.776119402985074,"44,8%",-4.1791044776119435,"-4,2%",52,40.38461538461539,"40,4%",-3.663003663003657,"-3,7%"
1h,PFR,1.0,dist_to_sma80_pct,low,50,2.1761291888046275,168,48.214285714285715,"48,2%",-0.7409381663113024,"-0,7%",62,40.32258064516129,"40,3%",-3.7250384024577556,"-3,7%"
1h,PFR,1.0,ret_5_pct,low,60,0.7030735489295115,201,49.25373134328358,"49,3%",0.29850746268656536,"0,3%",63,39.682539682539684,"39,7%",-4.36507936507936,"-4,4%"
1h,PFR,1.0,rsi,low,60,64.68460654806239,201,48.258706467661696,"48,3%",-0.6965174129353215,"-0,7%",58,39.6551724137931,"39,7%",-4.392446633825941,"-4,4%"
1h,PFR,1.0,ma_gap_pct,low,40,1.2642485918667825,134,44.02985074626866,"44,0%",-4.92537313432836,"-4,9%",44,38.63636363636363,"38,6%",-5.411255411255411,"-5,4%"
1h,PFR,1.0,vol_z,low,60,-0.035808999640737964,201,42.78606965174129,"42,8%",-6.169154228855724,"-6,2%",50,38.0,"38,0%",-6.047619047619044,"-6,0%"
1h,PFR,1.0,bars_since_new_high,high,50,3.0,207,50.24154589371981,"50,2%",1.286322013122792,"1,3%",58,37.93103448275862,"37,9%",-6.116584564860425,"-6,1%"
1h,PFR,1.0,bars_since_new_high,high,60,3.0,207,50.24154589371981,"50,2%",1.286322013122792,"1,3%",58,37.93103448275862,"37,9%",-6.116584564860425,"-6,1%"
1h,PFR,1.0,context_bars_since_extreme,high,50,3.0,207,50.24154589371981,"50,2%",1.286322013122792,"1,3%",58,37.93103448275862,"37,9%",-6.116584564860425,"-6,1%"
1h,PFR,1.0,context_bars_since_extreme,high,60,3.0,207,50.24154589371981,"50,2%",1.286322013122792,"1,3%",58,37.93103448275862,"37,9%",-6.116584564860425,"-6,1%"
1h,PFR,1.0,body_pct,low,50,0.2500603593970958,168,45.23809523809524,"45,2%",-3.717128642501777,"-3,7%",45,37.77777777777778,"37,8%",-6.269841269841265,"-6,3%"
1h,PFR,1.0,ret_1_pct,low,50,0.2506872287823425,168,45.23809523809524,"45,2%",-3.717128642501777,"-3,7%",45,37.77777777777778,"37,8%",-6.269841269841265,"-6,3%"
1h,PFR,1.0,body_pct,low,60,0.3245957596685467,201,45.77114427860697,"45,8%",-3.1840796019900495,"-3,2%",56,37.5,"37,5%",-6.547619047619044,"-6,5%"
1h,PFR,1.0,ret_1_pct,low,60,0.3256528250018719,201,45.77114427860697,"45,8%",-3.1840796019900495,"-3,2%",56,37.5,"37,5%",-6.547619047619044,"-6,5%"
